route_name,route_index,stop_id,stop_name,original_latitude,original_longitude,snapped_latitude,snapped_longitude,formatted_address,place_id,search_query
Sholingur,114,stop5,Paranchi,12.9009877,80.2279301,12.901004956777964,80.22781303104976,"Sholinganallur, Chennai, Tamil Nadu, India",ChIJGzh_3nlbUjoRGz_-itQtu_8,"Paranchi, Sholingur, Chennai"
Sholingur,114,stop6,Salai,13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"Salai, Sholingur, Chennai"
Sholingur,114,stop7,Chitteri,12.9009877,80.2279301,12.901004956777964,80.22781303104976,"Sholinganallur, Chennai, Tamil Nadu, India",ChIJGzh_3nlbUjoRGz_-itQtu_8,"Chitteri, Sholingur, Chennai"
Sholingur,114,stop8,Kummunipet,12.9009877,80.2279301,12.901004956777964,80.22781303104976,"Sholinganallur, Chennai, Tamil Nadu, India",ChIJGzh_3nlbUjoRGz_-itQtu_8,"Kummunipet, Sholingur, Chennai"
Sholingur,114,stop9,Kainoor,12.9009877,80.2279301,12.901004956777964,80.22781303104976,"Sholinganallur, Chennai, Tamil Nadu, India",ChIJGzh_3nlbUjoRGz_-itQtu_8,"Kainoor, Sholingur, Chennai"
Sholingur,114,stop10,Nethaji Nagar,12.966407,80.229894,12.966254354065455,80.22987574540748,"Nethaji Nagar, Anna Nagar, Perungudi, Chennai, Tamil Nadu 600096, India",ChIJP-vQKKBdUjoRiOGAZsGnaqM,"Nethaji Nagar, Sholingur, Chennai"
Sholingur,114,stop11,Windru pet,12.9009877,80.2279301,12.901004956777964,80.22781303104976,"Sholinganallur, Chennai, Tamil Nadu, India",ChIJGzh_3nlbUjoRGz_-itQtu_8,"Windru pet, Sholingur, Chennai"
Sholingur,114,stop12,S R Gate,13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"S R Gate, Sholingur, Chennai"
Sholingur,114,stop13,Venkatespuram,12.9722584,80.2540865,12.972021757464343,80.25401438676865,"Venkatesapuram, Kottivakkam, Chennai, Tamil Nadu 600041, India",ChIJ_RhiDWpdUjoReEDoDQRWPcc,"Venkatespuram, Sholingur, Chennai"
Sholingur,114,stop14,Perumuchi,13.0429116,79.70072110000001,13.0429116,79.70072110000001,"Perumuchi, Tamil Nadu, India",ChIJtQqijiG8UjoRUzQVL_qY9Ew,"Perumuchi, Sholingur, Chennai"
Sholingur,114,stop15,Pudhukesavaram,13.0161564,79.752901,13.016156399999998,79.752901,"Pudhu Kesavaram, Tamil Nadu 631151, India",ChIJgcYG2neVUjoRGgzgPscmCz0,"Pudhukesavaram, Sholingur, Chennai"
Sholingur,114,stop16,Mettukuppam,12.9416037,80.2362096,12.941611386795318,80.23617677143001,"Thoraipakkam, Tamil Nadu 600097, India",ChIJUQId3vtcUjoRcJI8igea_co,"Mettukuppam, Sholingur, Chennai"
Sholingur,114,stop17,Marimangalam,12.9174603,80.04261,12.9174603,80.04261,"Manimangalam Rd, Tamil Nadu, India",ChIJf363nsD1UjoRKCJgIjMHrUA,"Marimangalam, Sholingur, Chennai"
Sholingur,114,stop18,Narasingapuram,13.0407166,80.0248477,13.040649734361077,80.02501491206469,"Narasingapuram, Tamil Nadu, India",ChIJxZc_J5GLUjoRR2X_6fAKQK4,"Narasingapuram, Sholingur, Chennai"
Sholingur,114,stop19,Koovam,13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"Koovam, Sholingur, Chennai"
Sholingur,114,stop20,Mappedu,12.888592,80.13797360000001,12.888496099999998,80.1379345,"Mappedu, Tiruvanchery, Selaiyur, Chennai, Tamil Nadu 600126, India",ChIJw4wCydZYUjoRrAx3gh2kJ3o,"Mappedu, Sholingur, Chennai"
Sholingur,114,stop21,Vooluthai,12.9009877,80.2279301,12.901004956777964,80.22781303104976,"Sholinganallur, Chennai, Tamil Nadu, India",ChIJGzh_3nlbUjoRGz_-itQtu_8,"Vooluthai, Sholingur, Chennai"
Thiruthani,115,stop1,Thirupathi Bypass,13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"Thirupathi Bypass, Thiruthani, Chennai"
Thiruthani,115,stop2,Arcot Kuppam,13.0843007,80.2704622,13.0843007,80.2704622,"Chennai, Tamil Nadu, India",ChIJYTN9T-plUjoRM9RjaAunYW4,"Arcot Kuppam, Thiruthani, Chennai"
